x1,x2,y
0.537164,-0.766351,1
0.849448,-0.599917,1
-0.548619,0.658348,0
0.592038,0.061774,1
0.382278,0.324093,1
0.684247,0.278714,1
0.823426,-0.689762,1
0.543423,0.717012,1
0.130649,0.401187,1
0.394774,0.661802,1
-0.079583,-0.530566,1
-0.641286,-0.254137,1
-0.410598,-0.878793,1
-0.902746,0.144253,0
0.516039,-0.673719,1
-0.160348,0.580284,0
0.409135,-0.204005,1
-0.699665,0.581167,0
0.805937,-0.986175,1
-0.697620,0.466887,0
-0.554527,-0.743426,1
-0.325807,-0.206284,1
0.882180,-0.202976,1
0.398831,-0.744333,1
-0.564464,-0.857660,1
0.525387,-0.430061,1
-0.952355,-0.600271,1
0.888245,0.768561,1
-0.542868,-0.200289,1
-0.904838,0.116441,0
0.271486,0.921608,0
0.825485,-0.263408,1
0.710638,-0.865632,1
-0.455549,-0.814292,1
0.289565,0.305102,1
0.416407,0.499299,1
-0.349558,0.666736,0
0.882265,-0.621431,1
-0.505580,0.614186,0
0.206859,-0.947392,1
-0.451715,0.268002,1
0.541736,0.430461,1
-0.628057,-0.015605,1
-0.070207,0.978406,0
0.517606,-0.745350,1
0.405960,-0.318229,1
0.953256,0.560506,1
0.935544,-0.397668,1
0.213085,-0.345972,1
-0.005747,0.428044,1
0.489664,-0.043556,1
-0.537528,0.695832,0
0.160366,-0.090257,1
0.388447,0.324612,1
-0.325246,-0.301625,1
0.057846,-0.321111,1
-0.320634,0.766101,0
0.451544,-0.836611,1
-0.927180,0.512058,0
0.594171,-0.511777,1
-0.406010,0.503411,0
0.523805,-0.877424,1
0.738003,-0.271387,1
-0.974231,-0.868765,1
-0.244023,-0.085613,1
0.563569,0.088866,1
-0.417095,-0.414166,1
0.091072,-0.778220,1
-0.730128,0.448264,0
0.245557,0.064466,1
0.615860,-0.930921,1
0.625045,-0.747058,1
0.325123,0.014940,1
-0.508589,0.268038,0
0.901696,-0.817984,1
-0.632645,0.961414,0
0.727298,0.023852,1
0.853671,0.786512,1
-0.734385,-0.670810,1
-0.058214,-0.856703,1
0.105979,0.929938,0
-0.814975,0.773621,0
-0.953530,0.252229,0
0.254614,-0.533303,1
0.679733,0.602609,1
0.627676,-0.064379,1
-0.928743,0.779751,0
0.525415,0.527812,1
0.130718,0.887455,0
0.081455,0.376249,1
0.702625,0.353877,1
-0.898209,-0.012010,1
-0.572717,-0.453727,1
0.084695,0.092895,1
0.279402,0.451903,1
0.083430,0.790402,0
-0.253284,-0.165137,1
0.110270,-0.674570,1
-0.460085,0.777602,0
-0.319840,-0.938171,1
0.107444,-0.984409,1
-0.941612,0.204254,0
0.202079,0.798878,0
0.749858,-0.346345,1
0.906967,0.288401,1
0.886097,-0.613383,1
-0.704964,-0.642337,1
0.082248,-0.317477,1
0.656903,-0.255254,1
-0.038164,-0.792998,1
-0.573426,-0.398791,1
-0.707071,0.011831,1
0.237761,-0.680518,1
0.651377,0.505651,1
0.452811,0.932189,0
0.008838,0.631796,0
-0.807213,-0.082780,1
0.864593,-0.936329,1
-0.294756,0.295966,1
-0.149717,-0.888092,1
-0.865480,-0.829613,1
0.082553,0.731623,0
0.213526,0.445446,1
-0.014059,0.076704,1
-0.412701,0.487015,0
-0.171333,0.405869,1
-0.358047,-0.682055,1
0.307611,0.642200,1
0.225363,-0.243813,1
-0.063697,0.103717,1
0.975002,0.387442,1
0.927733,0.901466,1
0.053146,-0.069664,1
0.791473,-0.713224,1
-0.639248,0.891258,0
0.451443,0.071433,1
-0.435888,0.251285,1
-0.607869,-0.339803,1
0.196036,0.711102,0
0.348316,0.506334,1
-0.958410,0.937726,0
-0.788272,0.285452,0
-0.251504,-0.069984,1
0.725615,0.103771,1
-0.428445,-0.860854,1
0.657132,-0.586311,1
0.003071,-0.509191,1
0.585770,0.794689,1
0.709664,-0.594303,1
-0.967554,0.064128,0
-0.784316,-0.060581,1
0.039612,-0.493155,1
-0.987067,-0.603883,1
0.776002,-0.264489,1
0.805234,0.782325,1
0.810884,0.347341,1
-0.449484,0.679248,0
0.699347,0.184824,1
0.970249,0.805922,1
-0.829062,0.541948,0
0.616238,0.111611,1
-0.434326,0.950135,0
0.695850,-0.350267,1
-0.985875,0.276659,0
-0.494600,-0.996801,1
0.489322,0.615902,1
0.455367,-0.217281,1
-0.956419,0.174647,0
-0.046728,0.186779,1
0.731421,-0.302993,1
-0.987814,-0.866687,1
-0.548876,-0.079796,1
-0.926798,-0.424999,1
-0.839502,-0.833098,1
0.496401,-0.031575,1
-0.041325,0.544648,0
0.053660,-0.200163,1
0.768010,0.741981,1
0.758802,0.329381,1
-0.419350,-0.056541,1
0.056892,-0.547956,1
0.237521,0.045611,1
0.990343,-0.375594,1
0.467133,-0.354897,1
-0.997029,0.624718,0
-0.317294,-0.500016,1
-0.009611,0.470565,1
-0.788566,-0.999124,1
-0.733943,-0.062375,1
0.149608,-0.989248,1
0.531320,-0.736491,1
-0.361688,0.930067,0
0.237119,0.301442,1
-0.331623,-0.788231,1
-0.667251,0.977992,0
0.710605,-0.507010,1
-0.957746,-0.550061,1
-0.466020,-0.074872,1
-0.493943,0.743647,0
-0.789727,-0.226591,1
0.387695,0.130829,1
-0.184102,-0.837629,1
0.324270,0.693332,1
0.381843,-0.869725,1
-0.402207,-0.420508,1
-0.214536,-0.442807,1
-0.632676,0.966120,0
-0.064526,0.461131,1
0.935969,-0.244176,1
-0.694454,-0.187704,1
-0.669622,0.399097,0
0.751439,0.949254,1
0.550599,-0.684421,1
0.078078,0.409664,1
-0.060108,-0.541028,1
0.873864,-0.441126,1
-0.051268,-0.667283,1
0.833032,-0.265214,1
0.799785,-0.763289,1
0.111833,-0.183227,1
0.779804,0.936761,1
-0.034827,-0.967540,1
0.430682,0.274947,1
-0.361805,0.176132,1
0.179233,0.798181,0
-0.665899,-0.313675,1
0.945351,-0.389698,1
0.730825,0.807263,1
-0.708969,0.053632,1
-0.819801,-0.200747,1
-0.377642,-0.490284,1
0.699001,-0.698400,1
-0.755360,0.493899,0
-0.213758,-0.736950,1
-0.582814,0.231499,0
0.882323,-0.283542,1
0.276112,-0.631561,1
-0.656247,0.350011,0
0.064867,-0.695675,1
0.890270,0.852822,1
-0.943861,-0.560230,1
-0.981621,-0.233071,1
-0.886210,-0.659543,1
-0.512137,0.717507,0
-0.491769,-0.121848,1
-0.389847,0.387557,0
0.002155,-0.370556,1
-0.689810,-0.721903,1
-0.306583,0.636175,0
0.650253,-0.865771,1
0.693115,-0.430088,1
-0.483146,0.278172,0
0.645390,0.730727,1
-0.844408,-0.987429,1
-0.972690,-0.845918,1
0.168272,0.786335,0
0.263158,-0.929462,1
-0.951183,0.189854,0
-0.955818,0.313184,0
0.902982,-0.005824,1
0.296437,0.504498,1
-0.258850,0.584646,0
0.296557,0.203046,1
0.217488,0.185976,1
0.968896,-0.815833,1
-0.733255,-0.043012,1
-0.278568,-0.881075,1
0.552780,0.112077,1
-0.553663,0.302585,0
-0.547715,0.788164,0
-0.274272,0.386704,0
0.705558,0.348942,1
-0.699318,0.272701,0
-0.581314,-0.862625,1
0.108259,0.753652,0
0.798401,0.558854,1
-0.577409,0.603271,0
-0.126005,0.504521,0
0.041434,0.505011,1
0.245277,0.385638,1
-0.416264,-0.090874,1
-0.767981,-0.646812,1
-0.368654,0.784046,0
-0.948732,-0.030318,0
-0.068795,0.784007,0
0.635412,-0.805110,1
0.082788,-0.069190,1
-0.222610,-0.228054,1
-0.911788,0.774977,0
0.130326,0.557679,1
0.658459,0.185803,1
-0.584739,-0.424756,1
0.569909,-0.178733,1
